customer#   books purchased
1   3 1096 1121 1123 8105 59895 162769 162771 162781 162783 
2   23 27 55 61 1098 1106 3007 8106 22028 1202622 
3   20 31 35 46 150 425 1108 1111 2985 3005 3007 8126 162766 162777 442418 
4   2 29 38 59 150 433 2985 2986 8103 59889 1202611 1202614 1202629 
5   81 162 166 1125 3005 3006 8113 1202630 
6   10 17 23 29 34 159 163 416 1103 2989 3007 3009 59877 59892 59899 162756 162770 162777 
7   9 18 24 26 31 32 159 422 428 22031 22044 59874 162778 442416 442420 442436 1202634 
8   14 16 23 27 31 32 47 168 413 1108 1115 3004 3005 22033 59879 59904 162765 442413 1202606 
9   19 27 49 54 403 415 1104 1109 2989 3003 22034 22040 22044 442432 442436 
10   10 11 22 35 151 160 411 432 2980 3007 22054 59901 59904 1202611 
11   7 74 409 431 2994 2996 22032 59895 442423 
12   5 22 27 31 429 1106 2995 3002 8131 22034 22044 59896 162774 442424 442437 1202627 
13   9 33 426 8133 22032 59876 59877 59901 162754 162778 442417 1202622 
14   6 14 36 58 410 428 1111 22044 59891 162765 1202625 1202630 
15   25 26 39 149 163 177 403 8118 8121 22054 59888 162781 
